Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
03/16/2014,29707,22546,52253,7629,2708,10337,10794,15396,22546,37942,1874,3974
03/17/2014,29763,22530,52293,7652,2737,10389,10786,15389,22530,37919,1879,3985
03/18/2014,29716,22516,52232,7629,2731,10360,10788,15393,22516,37909,1870,3963
03/19/2014,29790,22509,52299,7672,2747,10419,10778,15391,22509,37900,1879,3980
03/20/2014,29743,22527,52270,7620,2767,10387,10784,15403,22527,37930,1866,3953
03/21/2014,29613,22539,52152,7515,2718,10233,10796,15417,22539,37956,1873,3963
03/22/2014,29603,22559,52162,7491,2711,10202,10800,15425,22559,37984,1880,3976
03/23/2014,29788,22601,52389,7624,2724,10348,10825,15455,22601,38056,1884,3985
03/24/2014,29842,22565,52407,7669,2761,10430,10804,15433,22565,37998,1881,3979
03/25/2014,29839,22528,52367,7674,2779,10453,10793,15418,22528,37946,1876,3968
03/26/2014,29859,22563,52422,7658,2783,10441,10815,15448,22563,38011,1878,3970
03/27/2014,29854,22571,52425,7637,2787,10424,10822,15466,22571,38037,1876,3964
03/28/2014,29712,22574,52286,7521,2739,10260,10831,15487,22574,38061,1877,3965
03/29/2014,29741,22587,52328,7554,2730,10284,10838,15498,22587,38085,1873,3959
03/30/2014,29872,22623,52495,7644,2737,10381,10863,15532,22623,38155,1873,3959
03/31/2014,29833,22587,52420,7640,2734,10374,10839,15496,22587,38083,1875,3963
04/01/2014,29683,22486,52169,7558,2710,10268,10804,15444,22486,37930,1880,3971
04/02/2014,30085,23260,53345,7575,2710,10285,11031,15826,23260,39086,1880,3974
04/03/2014,30015,23259,53274,7505,2704,10209,11035,15830,23259,39089,1882,3976
04/04/2014,30003,23285,53288,7460,2697,10157,11048,15862,23285,39147,1886,3984
04/05/2014,29992,23284,53276,7467,2679,10146,11057,15873,23284,39157,1880,3973
04/06/2014,30176,23335,53511,7570,2716,10286,11080,15904,23335,39239,1886,3986
04/07/2014,30224,23316,53540,7592,2742,10334,11065,15886,23316,39202,1895,4004
04/08/2014,29808,22501,52309,7566,2742,10308,10842,15504,22501,38005,1890,3996
04/09/2014,29840,22479,52319,7610,2730,10340,10835,15499,22479,37978,1894,4001
04/10/2014,29816,22486,52302,7560,2749,10309,10848,15505,22486,37991,1894,4002
04/11/2014,29756,22515,52271,7512,2729,10241,10865,15517,22515,38032,1893,3998
04/12/2014,29716,22538,52254,7476,2726,10202,10866,15525,22538,38063,1889,3989
04/13/2014,29845,22617,52462,7568,2707,10275,10897,15573,22617,38190,1893,3997
04/14/2014,29873,22565,52438,7589,2735,10324,10869,15546,22565,38111,1896,4003
04/15/2014,29942,22545,52487,7693,2741,10434,10853,15523,22545,38068,1888,3985
04/16/2014,29990,22595,52585,7681,2762,10443,10885,15550,22595,38145,1892,3997
04/17/2014,29987,22579,52566,7678,2768,10446,10887,15555,22579,38134,1889,3986
04/18/2014,29884,22546,52430,7628,2758,10386,10866,15522,22546,38068,1886,3976
04/19/2014,29837,22591,52428,7572,2739,10311,10890,15547,22591,38138,1887,3979
04/20/2014,29970,22621,52591,7647,2761,10408,10911,15579,22621,38200,1889,3983
04/21/2014,30020,22593,52613,7733,2752,10485,10893,15556,22593,38149,1887,3979
04/22/2014,29970,22546,52516,7726,2766,10492,10866,15529,22546,38075,1875,3949
04/23/2014,30005,22610,52615,7729,2785,10514,10893,15555,22610,38165,1873,3936
04/24/2014,29966,22636,52602,7732,2775,10507,10893,15555,22636,38191,1857,3904
04/25/2014,29881,22629,52510,7627,2760,10387,10902,15572,22629,38201,1862,3922
04/26/2014,29944,22639,52583,7641,2778,10419,10912,15595,22639,38234,1866,3930
04/27/2014,30059,22681,52740,7715,2773,10488,10941,15631,22681,38312,1872,3940
04/28/2014,30127,22677,52804,7741,2792,10533,10949,15644,22677,38321,1876,3950
04/29/2014,30169,22638,52807,7811,2799,10610,10922,15616,22638,38254,1873,3943
04/30/2014,30146,22661,52807,7776,2803,10579,10940,15633,22661,38294,1870,3934
05/01/2014,29997,22688,52685,7630,2748,10378,10967,15665,22688,38353,1878,3954
05/02/2014,29850,22686,52536,7476,2735,10211,10970,15676,22686,38362,1883,3963
05/03/2014,29833,22684,52517,7484,2724,10208,10972,15672,22684,38356,1877,3953
05/04/2014,30026,22722,52748,7613,2735,10348,10990,15693,22722,38415,1891,3985
05/05/2014,30097,22742,52839,7627,2755,10382,11001,15722,22742,38464,1895,3993
05/06/2014,30077,22716,52793,7629,2761,10390,10982,15703,22716,38419,1890,3984
05/07/2014,30110,22725,52835,7637,2768,10405,10989,15711,22725,38436,1896,3994
05/08/2014,30163,22756,52919,7649,2763,10412,11009,15746,22756,38502,1902,4005
05/09/2014,30114,22753,52867,7597,2750,10347,11020,15758,22753,38511,1903,4009
05/10/2014,30092,22795,52887,7553,2737,10290,11044,15794,22795,38589,1903,4008
05/11/2014,30187,22843,53030,7597,2732,10329,11072,15832,22843,38675,1912,4026
05/12/2014,30276,22842,53118,7648,2776,10424,11061,15821,22842,38663,1914,4031
05/13/2014,30289,22817,53106,7677,2790,10467,11045,15793,22817,38610,1914,4029
05/14/2014,30334,22861,53195,7676,2806,10482,11067,15825,22861,38686,1914,4027
